name,FirstName,SecondName,Hint,BirthDate,CurrentAge,Genre,KnownFor,RunningTime,url,image,copyrightTerms,AttributedNeeded,category,id
Cristiano Ronaldo,Cristiano,Ronaldo,Portuguese soccer superstar,"February 5, 1985",39,Athlete,"Multiple-time FIFA World Player of the Year, Real Madrid, Juventus",39,https://commons.wikimedia.org/wiki/File:Cristiano_Ajax.jpg,CristianoRonaldo,"Addesolen, CC0, via Wikimedia Commons",FALSE,celebrities,
LeBron James,LeBron,James,NBA icon,"December 30, 1984",39,Athlete,"NBA Championships, MVP Awards, Los Angeles Lakers",39,https://commons.wikimedia.org/wiki/File:LeBron_James_national_anthem_USA_vs_Dominican_Republic.jpg,LeBronJames,"Airman 1st Class Daniel Hughes/99th Air Base Wing, Public domain, via Wikimedia Commons",FALSE,celebrities,
Serena Williams,Serena,Williams,Tennis legend,"September 26, 1981",42,Athlete,23 Grand Slam singles titles,42,https://commons.wikimedia.org/wiki/File:Serena_Wimbledon_2008_trim.jpg,SerenaWilliams,"Markmcgee at en.wikipedia, Public domain, via Wikimedia Commons",FALSE,celebrities,
Lionel Messi,Lionel,Messi,Argentine soccer maestro,"June 24, 1987",36,Athlete,"FIFA World Player of the Year awards, FC Barcelona, PSG",36,File:Lionel Messi at Bernabeu.jpg - Wikimedia Commons,LionelMessi,"Addesolen, CC0, via Wikimedia Commons",FALSE,celebrities,
Naomi Osaka,Naomi,Osaka,Tennis star with multiple Grand Slams,"October 16, 1997",26,Athlete,US Open and Australian Open wins,26,"https://commons.wikimedia.org/wiki/File:Naomi_Osaka,_Wimbledon_2017.jpg",NaomiOsaka,"si.robi, CC BY-SA 2.0, via Wikimedia Commons",TRUE,celebrities,
Simone Biles,Simone,Biles,American gymnastics phenom,"March 14, 1997",26,Athlete,"Olympic gold medals, World Championships",26,https://commons.wikimedia.org/wiki/File:Simone_Biles_debunks_every_gymnastics_myth_01.jpg,SimoneBiles,"Condé Nast (through Vogue Taiwan), CC BY 3.0, via Wikimedia Commons",TRUE,celebrities,
Neymar Junior,Neymar,Junior,Brazilian soccer sensation,"February 5, 1992",31,Athlete,Barcelona and Paris Saint-Germain performances,31,https://commons.wikimedia.org/wiki/File:20180610_FIFA_Friendly_Match_Austria_vs._Brazil_Neymar_850_1705.jpg,NeymarJunior,"Granada, CC BY-SA 4.0, via Wikimedia Commons",TRUE,celebrities,
Stephen Curry,Stephen,Curry,Sharpshooting NBA MVP,"March 14, 1988",35,Athlete,"NBA Championships, MVP awards with the Golden State Warriors",35,File:TechCrunch Disrupt 2019 (48834853256) (1).jpg - Wikimedia Commons,StephenCurry,"TechCrunch, CC BY 2.0, via Wikimedia Commons",TRUE,celebrities,
Usain Bolt,Usain,Bolt,Fastest man alive,"August 21, 1986",37,Athlete,Multiple Olympic gold medals in sprinting,37,https://commons.wikimedia.org/wiki/File:Usain_Bolt_Rio_100m_final_2016b-cr.jpg,UsainBolt,"Fernando Frazão/Agência Brasil, CC BY 3.0 BR, via Wikimedia Commons",TRUE,celebrities,
Kylian Mbappe,Kylian,Mbappe,French soccer prodigy,"December 20, 1998",25,Athlete,"FIFA World Cup winner, performances for Paris Saint-Germain",25,https://commons.wikimedia.org/wiki/File:2019-07-17_SG_Dynamo_Dresden_vs._Paris_Saint-Germain_by_Sandro_Halank%E2%80%93129_(cropped).jpg,KylianMbappe,"Sandro Halank, Wikimedia Commons, CC BY-SA 4.0, CC BY-SA 4.0, via Wikimedia Commons",TRUE,celebrities,
Kevin Durant,Kevin,Durant,High-scoring NBA player,"September 29, 1988",34,Athlete,"NBA Championships, MVP Awards",34,"https://commons.wikimedia.org/wiki/File:Kevin_Durant_(Wizards_v._Warriors,_1-24-2019)_(cropped).jpg",KevinDurant,"All-Pro Reels, CC BY-SA 2.0, via Wikimedia Commons",TRUE,celebrities,
Allen Iverson,Allen,Iverson,NBA legend known for his scoring,"June 7, 1975",48,Athlete,"NBA MVP, iconic Philadelphia 76ers player",48,https://commons.wikimedia.org/wiki/File:Allen_Iverson_08.jpg,AllenIverson,"Keith Allison, CC BY-SA 2.0, via Wikimedia Commons",TRUE,celebrities,
Patrick Mahomes,Patrick,Mahomes,Star NFL quarterback,"September 17, 1995",28,Athlete,"NFL MVP, Super Bowl Champion with the Kansas City Chiefs",28,"https://commons.wikimedia.org/wiki/File:Patrick_Mahomes_in_the_Oval_Office_of_the_White_House_on_June_5,_2023_-_P20230605AS-0902_(cropped).jpg",PatrickMahomes,"Adam Schultz, Public domain, via Wikimedia Commons",FALSE,celebrities,
Addison Rae,Addison,Rae,TikTok dance sensation,"October 6, 2000",23,Influencers and Social Media Stars,"TikTok dancing, ""He's All That"" movie",23,https://commons.wikimedia.org/wiki/File:Addison_Rae_2021.png,AddisonRae,"Condé Nast (through Vogue Taiwan), CC BY 3.0, via Wikimedia Commons",TRUE,celebrities,
Emma Chamberlain,Emma,Chamberlain,YouTube vlogger,"May 22, 2001",22,Influencers and Social Media Stars,Lifestyle vlogging on YouTube,22,"https://commons.wikimedia.org/wiki/File:Emma_Chamberlain_for_Chamberlain_Coffee,_2020_(1).png",EmmaChamberlain,"John Park, CC BY 3.0, via Wikimedia Commons",TRUE,celebrities,
Zach King,Zach,King,Magical video editor,"February 4, 1990",33,Influencers and Social Media Stars,"""Magic"" editing videos on TikTok and YouTube",33,https://commons.wikimedia.org/wiki/File:Zach_King_Photo.jpg,ZachKing,"Muhammad Ali Khalid, CC BY-SA 3.0, via Wikimedia Commons",TRUE,celebrities,
