brand,name,id,category,code,url,price,currency,image,gender,description,from,color,info
Air Jordan,Air Jordan 4 Oxidised Green,,Sneakers,FQ8138-103,https://www.nike.com/gb/launch/t/air-jordan-4-oxidized-green,190,GBP,"""Air-Jordan-4-Oxidised-Green""",Mens,"The Air Jordan 4 Oxidized Green features a pristine white leather upper with metallic green accents on the eyelets, midsole, and branding. Celebrating the 35th anniversary of the Tinker Hatfield silhouette, this modern colorway blends heritage design with contemporary flair. Ideal for summer wear, this versatile sneaker is perfect for both long-time fans and new enthusiasts.",Nike,White,Retail Price
Jordan,Jumpman MVP,,Sneakers, DZ4475-107,https://www.nike.com/gb/t/jumpman-mvp-shoes-XCzhGH/DZ4475-107,154.99,GBP,"""Jumpman-MVP""",Mens,"Combining elements from the AJ6, 7, and 8, the Jumpman MVP celebrates MJ's first 3-peat championship run. Featuring leather, textile, and nubuck details, these sneakers honor his legacy while encouraging you to create your own.",Nike,White/Black/Yellow Ochre,Retail Price
Nike,Air Max Dn,,Sneakers,FJ3145-004,https://www.nike.com/gb/t/air-max-dn-shoes-WWJ2Wd/FJ3145-004,154.99,GBP,"""Air-Max-Dn""",Mens,The Nike Air Max Dn introduces Dynamic Air technology with dual-pressure tubes for a reactive feel and smooth transitions. Lightweight mesh upper with haptic print provides breathability and texture. Plush foam adds softness and support. Glossy accents and a foam midsole enhance comfort and style. Ideal for all-day wear with performance-level bounce. Available in Platinum Violet/Light Violet Ore/Grey Fog/Summit White. The Air Max legacy continues with striking designs and visible Air cushioning since 1987.,Nike,Platinum Violet/Light Violet Ore/Grey Fog/Summit White,Retail Price
Nike,Nike Air More Uptempo,,Sneakers,DO6718-100,https://www.nike.com/gb/t/air-more-uptempo-shoes-0d6nCn/DO6718-100,164.99,GBP,"""Nike-Air-More-Uptempo""",Womens," The Nike Air More Uptempo '96 brings classic '90s basketball style with graffiti-styled graphics and full-length Air cushioning. Features include elastic straps for a secure fit, velvety leather, airy mesh, synthetic leather underlays, and round laces for easy wear. Available in Summit White/Sail/Black, this throwback design combines style and comfort.",Nike,Summit White/Sail/Black,Retail Price
New balance,New balance 550,,Sneakers, BB550NQB,https://www.newbalance.co.uk/pd/550/BB550V1-47827.html?_gl=1*1dtkz5b*_up*MQ..&gclid=CjwKCAjwr7ayBhAPEiwA6EIGxEYJRRveaEanzhdYSo2a-kW2wLb8Z2KK10K_R1aE6As5NvnEtsEpGxoCfkIQAvD_BwE&gclsrc=aw.ds#dwvar_BB550V1-47827_style=BB550NQB&dwvar_BB550V1-47827_width=D&pid=BB550V1-47827&quantity=1,120,GBP,"""New-balance-550""",Mens,"Originally debuted in 1989, the 550 made its mark on basketball courts and returned in 2021 as a global fashion favorite. With a low-top, streamlined silhouette, and synthetic suede upper, it offers a clean take on late '80s heavy-duty designs.",New balance,White with nb navy and quarry blue,Retail Price
A Bathing Ape Bape Sta Low,ABC Camo 20th Anniversary Blue,,Sneakers,1G30191001/1H3019011,https://stockx.com/en-gb/a-bathing-ape-bapesta-abc-camo-20th-anniversary-blue,588,GBP,"""ABC-Camo-20th-Anniversary-Blue""",Mens,"The A Bathing Ape BAPEsta ABC Camo 20th Anniversary Blue is a limited edition sneaker celebrating the brand's 20th anniversary. It features a blue camo upper with white ABC logo, a white midsole, blue outsole, and BAPEsta branding on the heel. Made from premium leather and durable rubber, this shoe showcases exceptional craftsmanship and attention to detail. Its unique blue camo pattern and high-quality materials make it a standout piece in any sneaker collection.",stockx,BLUE CAMO/WHITE,size 10.Resell Price
Nike Air Adjust Force,AMBUSH University Blue Habanero Red,,Sneakers,DM8465-400,https://www.nike.com/gb/t/ambush-air-adjust-force-shoes-bv1x3w,189.95,GBP,"""AMBUSH-University-Blue-Habanero-Red""",Mens,"Yoon Ahn revitalizes the classic hoops shoe with a luxurious nubuck leather upper and plastic details, merging iconic basketball style with runway flair. Featuring the legendary removable midfoot strap for a customizable look, this shoe offers Air cushioning in the heel for all-day comfort. Additional benefits include internal ankle support, plastic underlays for foot support, and a durable rubber outsole for traction.",Nike,University Blue/Black/Habanero Red/Black,Retail Price
A Bathing Ape Bape Sta Low,Kanye West College Dropout,,Sneakers,0607FS-001,https://stockx.com/en-gb/a-bathing-ape-bapesta-college-dropout,"13,392",GBP,"""Kanye-West-College-Dropout""",Mens,"The Kanye West x Bapesta FS-001 Low 'College Dropout' is a special-edition sneaker collaboration between Kanye West and A Bathing Ape, released in January 2007. This design uses the iconic Bapesta model, featuring a premium leather upper with colors and artwork inspired by West's debut album, ""The College Dropout."" The sneaker highlights bold colors and intricate details reflecting the album's themes. Known for its superior craftsmanship and comfort, the Bapesta FS-001 Low offers a cushioned insole and supportive midsole, making it a durable and stylish choice for fans and collectors alike.",stockx,BROWN,size 9.Resell Price
A Bathing Ape,Clutch Sta,,Sneakers,1J80191068 RED,https://stockx.com/en-gb/a-bathing-ape-clutch-sta-1-red,260,GBP,"""Clutch-Sta""",Mens,"Inspired by retro basketball styles, the Clutch STA #1 sneakers feature smooth color-blocked leather in a mid-top silhouette. Advanced cushioning provides support, while a rubber sole ensures flexibility and traction. Adorned with star appliqués and Bape Sta logos on the tongue and heel, these sneakers combine sophistication with street edge. The design merges soft suede and robust canvas for a stylish, practical look.",stockx,RED,Retail Price
Air Jordan,Air Jordan 5 Retro SE 'Sail',,Sneakers,FN7405 100,https://www.goat.com/en-gb/sneakers/air-jordan-5-retro-se-sail-fn7405-100,174,GBP,"""Air-Jordan-5-Retro-SE-Sail""",Mens,"The Air Jordan 5 Retro SE 'Sail' features an off-white suede upper with classic AJ5 elements like lace locks, molded TPU eyelets, and breathable netting. Black embroidered Jumpman logos adorn the heel and exposed-foam tongue. The white polyurethane midsole includes an Air-Sole heel unit, accented with speckled black shark tooth details. A milky translucent rubber outsole provides traction. Inspired by fighter planes, this edition showcases a 'Sail' palette with 'Light Orewood Brown' and 'Coconut Milk' on the midsole, and black shark teeth and Jumpman branding.",goat,Cream/Sail,Retail Price
